Topic,Paper ID,Title,Authors,First Author,URL,Citations,Published
"3D Compression","2311.17245","LightGaussian: Unbounded 3D Gaussian Compression with 15x Reduction and 200+ FPS","Zhiwen Fan, Kevin Wang, Kairun Wen, Zehao Zhu, Dejia Xu, Zhangyang Wang","Zhiwen Fan","http://arxiv.org/abs/2311.17245",456,"2023-11-28"
"3D Compression","2311.13681","Compact 3D Gaussian Representation for Radiance Field","Joo Chan Lee, Daniel Rho, Xiangyu Sun, Jong Hwan Ko, Eunbyung Park","Joo Chan Lee","http://arxiv.org/abs/2311.13681",385,"2023-11-22"
"3D Compression","2312.00732","Gaussian Grouping: Segment and Edit Anything in 3D Scenes","Mingqiao Ye, Martin Danelljan, Fisher Yu, Lei Ke","Mingqiao Ye","http://arxiv.org/abs/2312.00732",357,"2023-12-01"
"3D Compression","2011.03799","Multiscale Point Cloud Geometry Compression","Jianqiang Wang, Dandan Ding, Zhu Li, Zhan Ma","Jianqiang Wang","http://arxiv.org/abs/2011.03799",237,"2020-11-07"
"3D Compression","2401.02436","Compressed 3D Gaussian Splatting for Accelerated Novel View Synthesis","Simon Niedermayr, Josef Stumpfegger, Rüdiger Westermann","Simon Niedermayr","http://arxiv.org/abs/2401.02436",236,"2023-11-17"
"3D Compression","2403.14530","HAC: Hash-grid Assisted Context for 3D Gaussian Splatting Compression","Yihang Chen, Qianyi Wu, Weiyao Lin, Mehrtash Harandi, Jianfei Cai","Yihang Chen","http://arxiv.org/abs/2403.14530",200,"2024-03-21"
"3D Compression","2005.07178","OctSqueeze: Octree-Structured Entropy Model for LiDAR Compression","Lila Huang, Shenlong Wang, Kelvin Wong, Jerry Liu, Raquel Urtasun","Lila Huang","http://arxiv.org/abs/2005.07178",194,"2020-05-14"
"3D Compression","2011.12688","Reduced Reference Perceptual Quality Model and Application to Rate Control for 3D Point Cloud Compression","Qi Liu, Hui Yuan, Raouf Hamzaoui, Honglei Su, Junhui Hou, Huan Yang","Qi Liu","http://arxiv.org/abs/2011.12688",185,"2020-11-25"
"3D Compression","2105.02158","VoxelContext-Net: An Octree based Framework for Point Cloud Compression","Zizheng Que, Guo Lu, Dong Xu","Zizheng Que","http://arxiv.org/abs/2105.02158",171,"2021-05-05"
"3D Compression","2107.04004","3D Neural Scene Representations for Visuomotor Control","Yunzhu Li, Shuang Li, Vincent Sitzmann, Pulkit Agrawal, Antonio Torralba","Yunzhu Li","http://arxiv.org/abs/2107.04004",156,"2021-07-08"
"3D Compression","2002.03370","A Unified End-to-End Framework for Efficient Deep Image Compression","Jiaheng Liu, Guo Lu, Zhihao Hu, Dong Xu","Jiaheng Liu","http://arxiv.org/abs/2002.03370",127,"2020-02-09"
"3D Compression","2301.08247","Multiview Compressive Coding for 3D Reconstruction","Chao-Yuan Wu, Justin Johnson, Jitendra Malik, Christoph Feichtenhofer, Georgia Gkioxari","Chao-Yuan Wu","http://arxiv.org/abs/2301.08247",94,"2023-01-19"
"3D Compression","2004.00329","Compressed Volumetric Heatmaps for Multi-Person 3D Pose Estimation","Matteo Fabbri, Fabio Lanzi, Simone Calderara, Stefano Alletto, Rita Cucchiara","Matteo Fabbri","http://arxiv.org/abs/2004.00329",86,"2020-04-01"
"3D Compression","2407.09510","3DGS.zip: A survey on 3D Gaussian Splatting Compression Methods","Milena T. Bagdasarian, Paul Knoll, Yi-Hsin Li, Florian Barthel, Anna Hilsmann, Peter Eisert, Wieland Morgenstern","Milena T. Bagdasarian","http://arxiv.org/abs/2407.09510",57,"2024-06-17"
"3D Compression","2207.12554","Inter-Frame Compression for Dynamic Point Cloud Geometry Coding","Anique Akhtar, Zhu Li, Geert Van der Auwera","Anique Akhtar","http://arxiv.org/abs/2207.12554",54,"2022-07-25"
"3D Compression","2002.04439","Folding-based compression of point cloud attributes","Maurice Quach, Giuseppe Valenzise, Frederic Dufaux","Maurice Quach","http://arxiv.org/abs/2002.04439",54,"2020-02-11"
"3D Compression","2008.06972","Real-Time Spatio-Temporal LiDAR Point Cloud Compression","Yu Feng, Shaoshan Liu, Yuhao Zhu","Yu Feng","http://arxiv.org/abs/2008.06972",52,"2020-08-16"
